product_id,product_name,category,price,stock_level,daily_demand,supplier_lead_time,reorder_point,is_weekend,units_sold,restocked
106,Hair Spray,Styling,10.99,96.0,3.0,5.0,15,0,6,0
107,Shampoo,Hair Care,12.99,81.0,8.0,9.0,72,1,11,0
108,Conditioner,Hair Care,11.99,126.0,8.0,,56,1,6,0
109,Conditioner,Hair Care,11.99,104.0,6.0,4.0,24,1,4,0
110,Hair Gel,Styling,7.99,166.0,7.0,10.0,70,1,8,0
111,Hair Spray,Styling,10.99,9.0,5.0,3.0,15,1,4,1
112,Shampoo,Hair Care,12.99,194.0,5.0,9.0,45,1,4,0
113,Hair Mousse,Styling,9.99,91.0,1.0,7.0,7,0,2,0
114,Conditioner,Hair Care,11.99,43.0,8.0,8.0,64,0,10,1
115,Comb,Tools,4.99,65.0,5.0,9.0,45,0,5,0
116,Hair Spray,Styling,10.99,40.0,9.0,6.0,54,1,12,1
117,Hair Gel,Styling,7.99,218.0,8.0,9.0,72,0,6,0
118,Comb,Tools,4.99,75.0,6.0,8.0,48,0,6,0
119,Shampoo,Hair Care,12.99,233.0,8.0,9.0,72,0,8,0
120,Hair Spray,Styling,10.99,64.0,3.0,4.0,12,0,6,0
121,Hair Gel,Styling,7.99,8.0,3.0,7.0,21,0,6,1
122,Conditioner,Hair Care,11.99,51.0,8.0,7.0,56,1,10,1
123,Hair Gel,Styling,7.99,247.0,7.0,6.0,42,1,10,0
124,Conditioner,Hair Care,11.99,220.0,5.0,8.0,40,1,7,0
125,Shampoo,Hair Care,12.99,116.0,5.0,7.0,35,1,8,0
126,Shampoo,Hair Care,12.99,172.0,8.0,10.0,80,0,8,0
127,Comb,Tools,4.99,,3.0,8.0,24,0,1,0
128,Shampoo,Hair Care,12.99,24.0,8.0,8.0,64,1,9,1
129,Hair Gel,Styling,7.99,150.0,8.0,4.0,32,0,9,0
130,Hair Mousse,Styling,9.99,8.0,4.0,9.0,36,1,3,1
131,Comb,Tools,4.99,91.0,1.0,2.0,2,1,2,0
132,Hair Gel,Styling,7.99,23.0,4.0,2.0,8,1,2,0
133,Shampoo,Hair Care,12.99,212.0,5.0,10.0,50,0,4,0
134,Hair Spray,Styling,10.99,0.0,4.0,4.0,16,1,0,1
135,Conditioner,Hair Care,11.99,,12.0,7.0,84,1,3,1
136,Hair Gel,Styling,7.99,134.0,6.0,9.0,54,0,6,0
137,Comb,Tools,4.99,200.0,3.0,10.0,30,1,3,0
138,Hair Gel,Styling,7.99,109.0,5.0,9.0,45,0,3,0
139,Hair Spray,Styling,10.99,162.0,2.0,10.0,20,1,5,0
140,Hair Spray,Styling,10.99,154.0,1.0,3.0,3,0,4,0
141,Hair Gel,Styling,7.99,102.0,7.0,8.0,56,0,10,0
142,Conditioner,Hair Care,11.99,175.0,7.0,3.0,21,1,5,0
143,Hair Spray,Styling,10.99,15.0,4.0,10.0,40,1,6,1
144,Hair Gel,Styling,7.99,222.0,6.0,6.0,36,1,8,0
145,Comb,Tools,4.99,123.0,2.0,5.0,10,1,0,0
146,Hair Spray,Styling,10.99,,6.0,10.0,60,1,4,1
147,Hair Mousse,Styling,9.99,89.0,1.0,2.0,2,0,0,0
148,Comb,Tools,4.99,248.0,6.0,5.0,30,1,7,0
149,Hair Mousse,Styling,9.99,198.0,5.0,3.0,15,0,3,0
150,Hair Mousse,Styling,9.99,113.0,3.0,9.0,27,1,4,0
151,Shampoo,Hair Care,12.99,,6.0,9.0,54,1,8,0
152,Shampoo,Hair Care,12.99,52.0,,4.0,28,1,7,0
153,Conditioner,Hair Care,11.99,33.0,8.0,8.0,64,0,10,1
154,Shampoo,Hair Care,12.99,101.0,8.0,2.0,16,0,9,0
155,Comb,Tools,4.99,163.0,2.0,8.0,16,0,2,0
156,Hair Spray,Styling,10.99,117.0,7.0,3.0,21,0,8,0
157,Hair Gel,Styling,7.99,222.0,2.0,6.0,12,1,5,0
158,Comb,Tools,4.99,29.0,1.0,7.0,7,0,1,0
159,Hair Spray,Styling,10.99,39.0,4.0,3.0,12,1,3,0
160,Comb,Tools,4.99,236.0,5.0,7.0,35,1,8,0
161,Hair Mousse,Styling,9.99,203.0,3.0,6.0,18,0,5,0
162,Shampoo,Hair Care,12.99,14.0,6.0,3.0,18,1,8,1
163,Shampoo,Hair Care,12.99,115.0,9.0,5.0,45,1,9,0
164,Hair Mousse,Styling,9.99,182.0,7.0,2.0,14,1,6,0
165,Hair Mousse,Styling,9.99,95.0,6.0,6.0,36,1,7,0
166,Comb,Tools,4.99,165.0,2.0,10.0,20,1,5,0
167,Hair Spray,Styling,10.99,223.0,6.0,4.0,24,0,6,0
168,Comb,Tools,4.99,178.0,2.0,3.0,6,1,2,0
169,Comb,Tools,4.99,212.0,,10.0,20,1,0,0
170,Conditioner,Hair Care,11.99,87.0,9.0,5.0,45,0,8,0
171,Hair Spray,Styling,10.99,213.0,4.0,10.0,40,1,2,0
172,Conditioner,Hair Care,11.99,,8.0,4.0,32,1,11,0
173,Hair Gel,Styling,7.99,156.0,8.0,6.0,48,1,11,0
174,Hair Gel,Styling,7.99,231.0,6.0,9.0,54,1,7,0
175,Conditioner,Hair Care,11.99,209.0,5.0,5.0,25,0,7,0
176,Hair Mousse,Styling,9.99,141.0,7.0,10.0,70,1,5,0
177,Hair Spray,Styling,10.99,37.0,3.0,8.0,24,0,1,0
178,Hair Gel,Styling,7.99,13.0,4.0,8.0,32,1,2,1
179,Comb,Tools,4.99,,4.0,7.0,28,0,3,0
180,Conditioner,Hair Care,11.99,194.0,6.0,2.0,12,0,4,0
181,Comb,Tools,4.99,155.0,0.0,10.0,0,0,1,0
182,Conditioner,Hair Care,11.99,107.0,,3.0,15,1,3,0
183,Conditioner,Hair Care,11.99,,4.0,4.0,16,1,4,0
184,Conditioner,Hair Care,11.99,170.0,5.0,7.0,35,0,3,0
185,Hair Mousse,Styling,9.99,64.0,2.0,2.0,4,0,2,0
186,Hair Spray,Styling,10.99,188.0,5.0,7.0,35,1,7,0
187,Hair Gel,Styling,7.99,178.0,4.0,9.0,36,0,7,0
188,Hair Gel,Styling,7.99,9.0,5.0,5.0,25,1,3,1
189,Hair Spray,Styling,10.99,121.0,5.0,6.0,30,0,3,0
190,Comb,Tools,4.99,84.0,2.0,8.0,16,1,3,0
191,Hair Gel,Styling,7.99,177.0,9.0,9.0,81,1,9,0
192,Hair Spray,Styling,10.99,210.0,5.0,3.0,15,1,3,0
193,Hair Gel,Styling,7.99,,7.0,9.0,63,1,7,1
194,Hair Gel,Styling,7.99,70.0,3.0,2.0,6,1,1,0
195,Shampoo,Hair Care,12.99,36.0,5.0,9.0,45,0,3,1
196,Hair Gel,Styling,7.99,243.0,3.0,9.0,27,1,3,0
197,Hair Mousse,Styling,9.99,101.0,3.0,7.0,21,1,6,0
198,Hair Gel,Styling,7.99,132.0,4.0,6.0,24,1,4,0
199,Hair Gel,Styling,7.99,51.0,7.0,3.0,21,0,6,0
200,Shampoo,Hair Care,12.99,207.0,6.0,7.0,42,1,9,0
201,Hair Mousse,Styling,9.99,217.0,1.0,4.0,4,0,4,0
202,Conditioner,Hair Care,11.99,202.0,9.0,2.0,18,1,9,0
203,Shampoo,Hair Care,12.99,16.0,10.0,6.0,60,1,11,1
204,Shampoo,Hair Care,12.99,32.0,10.0,9.0,90,1,11,1
205,Hair Spray,Styling,10.99,46.0,4.0,4.0,16,0,5,0
206,Conditioner,Hair Care,11.99,82.0,8.0,10.0,80,0,8,0
207,Conditioner,Hair Care,11.99,160.0,6.0,6.0,36,0,8,0
208,Conditioner,Hair Care,11.99,43.0,,7.0,35,0,7,0
209,Comb,Tools,4.99,197.0,0.0,6.0,0,0,3,0
210,Hair Gel,Styling,7.99,227.0,4.0,6.0,24,0,5,0
211,Shampoo,Hair Care,12.99,176.0,6.0,2.0,12,1,5,0
212,Conditioner,Hair Care,11.99,80.0,8.0,7.0,56,0,9,0
213,Conditioner,Hair Care,11.99,119.0,5.0,3.0,15,1,5,0
214,Hair Gel,Styling,7.99,221.0,4.0,4.0,16,1,4,0
215,Hair Gel,Styling,7.99,127.0,4.0,6.0,24,0,5,0
216,Conditioner,Hair Care,11.99,55.0,,6.0,36,1,7,0
217,Conditioner,Hair Care,11.99,225.0,6.0,6.0,36,1,9,0
218,Hair Spray,Styling,10.99,143.0,5.0,3.0,15,1,6,0
219,Comb,Tools,4.99,156.0,5.0,3.0,15,0,4,0
220,Hair Mousse,Styling,9.99,,6.0,8.0,48,0,8,0
221,Hair Gel,Styling,7.99,132.0,8.0,9.0,72,0,7,0
222,Hair Spray,Styling,10.99,189.0,6.0,10.0,60,1,8,0
223,Hair Mousse,Styling,9.99,84.0,2.0,3.0,6,1,3,0
224,Shampoo,Hair Care,12.99,152.0,2.0,5.0,10,0,5,0
225,Hair Spray,Styling,10.99,,5.0,8.0,40,0,4,0
226,Shampoo,Hair Care,12.99,112.0,7.0,5.0,35,1,8,0
227,Conditioner,Hair Care,11.99,132.0,8.0,5.0,40,1,10,0
228,Conditioner,Hair Care,11.99,117.0,8.0,7.0,56,1,11,0
229,Hair Spray,Styling,10.99,76.0,4.0,5.0,20,1,4,0
230,Hair Gel,Styling,7.99,89.0,1.0,6.0,6,0,1,0
231,Hair Gel,Styling,7.99,,4.0,7.0,28,1,3,0
232,Hair Gel,Styling,7.99,167.0,5.0,5.0,25,1,7,0
233,Hair Spray,Styling,10.99,189.0,7.0,5.0,35,0,6,0
234,Shampoo,Hair Care,12.99,,5.0,3.0,15,0,8,0
235,Hair Gel,Styling,7.99,167.0,7.0,9.0,63,0,8,0
236,Shampoo,Hair Care,12.99,232.0,8.0,5.0,40,0,10,0
237,Conditioner,Hair Care,11.99,239.0,4.0,2.0,8,1,5,0
238,Hair Mousse,Styling,9.99,224.0,6.0,3.0,18,1,6,0
239,Conditioner,Hair Care,11.99,217.0,7.0,10.0,70,1,8,0
240,Hair Gel,Styling,7.99,165.0,5.0,7.0,35,0,5,0
241,Hair Gel,Styling,7.99,131.0,7.0,7.0,49,1,5,0
242,Hair Mousse,Styling,9.99,239.0,5.0,5.0,25,1,6,0
243,Shampoo,Hair Care,12.99,66.0,9.0,7.0,63,0,12,0
244,Hair Gel,Styling,7.99,175.0,1.0,6.0,6,0,4,0
245,Conditioner,Hair Care,11.99,56.0,6.0,4.0,24,0,7,0
246,Comb,Tools,4.99,140.0,5.0,5.0,25,0,4,0
247,Hair Spray,Styling,10.99,28.0,3.0,2.0,6,0,5,0
248,Hair Spray,Styling,10.99,113.0,6.0,9.0,54,1,4,0
249,Hair Gel,Styling,7.99,144.0,6.0,,12,1,8,0
250,Hair Mousse,Styling,9.99,209.0,6.0,3.0,18,1,4,0
251,Shampoo,Hair Care,12.99,239.0,8.0,9.0,72,1,6,0
252,Comb,Tools,4.99,165.0,4.0,8.0,32,1,5,0
253,Hair Spray,Styling,10.99,34.0,4.0,7.0,28,0,2,0
254,Conditioner,Hair Care,11.99,213.0,7.0,6.0,42,1,8,0
255,Hair Mousse,Styling,9.99,,5.0,6.0,30,0,4,0
256,Shampoo,Hair Care,12.99,61.0,8.0,2.0,16,0,9,0
257,Hair Spray,Styling,10.99,55.0,5.0,2.0,10,1,4,0
258,Hair Spray,Styling,10.99,153.0,5.0,5.0,25,0,5,0
259,Hair Mousse,Styling,9.99,15.0,1.0,10.0,10,0,3,0
260,Hair Mousse,Styling,9.99,241.0,3.0,10.0,30,1,3,0
261,Hair Spray,Styling,10.99,121.0,3.0,5.0,15,1,2,0
262,Shampoo,Hair Care,12.99,143.0,6.0,10.0,60,1,5,0
263,Hair Gel,Styling,7.99,216.0,7.0,7.0,49,0,5,0
264,Shampoo,Hair Care,12.99,223.0,11.0,10.0,110,1,10,0
265,Shampoo,Hair Care,12.99,54.0,9.0,5.0,45,0,12,0
266,Comb,Tools,4.99,154.0,2.0,5.0,10,1,4,0
267,Hair Mousse,Styling,9.99,78.0,3.0,6.0,18,1,3,0
268,Hair Mousse,Styling,9.99,234.0,,2.0,10,0,7,0
269,Hair Spray,Styling,10.99,148.0,6.0,8.0,48,0,6,0
270,Conditioner,Hair Care,11.99,127.0,2.0,7.0,14,1,2,0
271,Conditioner,Hair Care,11.99,187.0,5.0,7.0,35,0,4,0
272,Hair Spray,Styling,10.99,164.0,7.0,3.0,21,0,10,0
273,Conditioner,Hair Care,11.99,17.0,6.0,4.0,24,0,4,1
274,Comb,Tools,4.99,239.0,1.0,,9,0,0,0
275,Comb,Tools,4.99,70.0,1.0,10.0,10,0,1,0
276,Conditioner,Hair Care,11.99,27.0,9.0,5.0,45,1,8,1
277,Hair Mousse,Styling,9.99,245.0,3.0,8.0,24,0,4,0
278,Shampoo,Hair Care,12.99,167.0,10.0,2.0,20,1,8,0
279,Shampoo,Hair Care,12.99,179.0,7.0,4.0,28,1,5,0
280,Shampoo,Hair Care,12.99,229.0,7.0,5.0,35,1,10,0
281,Hair Mousse,Styling,9.99,230.0,4.0,,40,0,6,0
282,Conditioner,Hair Care,11.99,150.0,9.0,8.0,72,1,7,0
283,Hair Gel,Styling,7.99,173.0,8.0,10.0,80,1,8,0
284,Comb,Tools,4.99,20.0,0.0,2.0,0,1,0,0
285,Hair Spray,Styling,10.99,244.0,4.0,8.0,32,0,4,0
286,Conditioner,Hair Care,11.99,91.0,5.0,4.0,20,1,8,0
287,Comb,Tools,4.99,18.0,2.0,3.0,6,0,2,0
288,Hair Gel,Styling,7.99,81.0,5.0,6.0,30,1,6,0
289,Hair Gel,Styling,7.99,114.0,6.0,10.0,60,1,8,0
290,Hair Spray,Styling,10.99,153.0,5.0,2.0,10,1,5,0
291,Conditioner,Hair Care,11.99,146.0,3.0,10.0,30,1,2,0
292,Conditioner,Hair Care,11.99,16.0,7.0,6.0,42,0,8,1
293,Hair Gel,Styling,7.99,152.0,,5.0,35,0,8,0
294,Hair Spray,Styling,10.99,97.0,5.0,7.0,35,0,6,0
295,Hair Gel,Styling,7.99,80.0,4.0,4.0,16,1,5,0
296,Hair Spray,Styling,10.99,200.0,5.0,8.0,40,0,5,0
297,Conditioner,Hair Care,11.99,174.0,8.0,10.0,80,1,6,0
298,Comb,Tools,4.99,17.0,4.0,8.0,32,1,7,1
299,Conditioner,Hair Care,11.99,183.0,3.0,8.0,24,0,4,0
300,Hair Spray,Styling,10.99,129.0,8.0,8.0,64,0,10,0
301,Hair Spray,Styling,10.99,152.0,3.0,3.0,9,0,1,0
302,Shampoo,Hair Care,12.99,144.0,10.0,8.0,80,1,10,0
303,Comb,Tools,4.99,132.0,2.0,10.0,20,0,4,0
304,Hair Spray,Styling,10.99,176.0,3.0,2.0,6,0,4,0
305,Comb,Tools,4.99,36.0,2.0,7.0,14,1,2,0
306,Hair Gel,Styling,7.99,,3.0,,21,1,1,0
307,Hair Mousse,Styling,9.99,165.0,6.0,3.0,18,0,9,0
308,Hair Spray,Styling,10.99,40.0,3.0,9.0,27,1,2,0
309,Hair Gel,Styling,7.99,7.0,7.0,5.0,35,1,7,1
310,Comb,Tools,4.99,207.0,3.0,10.0,30,1,2,0
311,Hair Gel,Styling,7.99,135.0,3.0,7.0,21,1,5,0
312,Hair Gel,Styling,7.99,158.0,7.0,6.0,42,0,9,0
313,Shampoo,Hair Care,12.99,46.0,10.0,7.0,70,0,13,1
314,Hair Gel,Styling,7.99,108.0,7.0,4.0,28,0,9,0
315,Hair Gel,Styling,7.99,158.0,8.0,2.0,16,0,8,0
316,Hair Spray,Styling,10.99,129.0,3.0,9.0,27,1,4,0
317,Conditioner,Hair Care,11.99,74.0,5.0,2.0,10,0,5,0
318,Comb,Tools,4.99,197.0,3.0,3.0,9,0,5,0
319,Hair Spray,Styling,10.99,210.0,2.0,2.0,4,1,5,0
320,Comb,Tools,4.99,192.0,3.0,2.0,6,1,4,0
321,Shampoo,Hair Care,12.99,198.0,12.0,5.0,60,1,11,0
322,Hair Spray,Styling,10.99,35.0,5.0,2.0,10,1,7,0
323,Comb,Tools,4.99,74.0,0.0,6.0,0,1,2,0
324,Shampoo,Hair Care,12.99,34.0,11.0,2.0,22,0,11,0
325,Hair Mousse,Styling,9.99,212.0,4.0,5.0,20,1,7,0
326,Hair Gel,Styling,7.99,96.0,3.0,3.0,9,1,4,0
327,Hair Gel,Styling,7.99,83.0,6.0,2.0,12,0,9,0
328,Hair Mousse,Styling,9.99,217.0,7.0,5.0,35,0,8,0
329,Hair Spray,Styling,10.99,147.0,5.0,4.0,20,1,7,0
330,Shampoo,Hair Care,12.99,25.0,,2.0,10,0,3,0
331,Conditioner,Hair Care,11.99,176.0,4.0,4.0,16,1,7,0
332,Comb,Tools,4.99,92.0,2.0,4.0,8,1,0,0
333,Hair Gel,Styling,7.99,,7.0,3.0,21,0,10,0
334,Conditioner,Hair Care,11.99,132.0,6.0,7.0,42,1,4,0
335,Shampoo,Hair Care,12.99,187.0,7.0,3.0,21,1,5,0
336,Conditioner,Hair Care,11.99,164.0,8.0,10.0,80,0,10,0
337,Conditioner,Hair Care,11.99,160.0,6.0,4.0,24,1,7,0
338,Shampoo,Hair Care,12.99,150.0,7.0,8.0,56,0,7,0
339,Hair Spray,Styling,10.99,153.0,3.0,6.0,18,0,6,0
340,Hair Spray,Styling,10.99,155.0,1.0,6.0,6,0,4,0
341,Hair Gel,Styling,7.99,28.0,5.0,5.0,25,0,6,0
342,Hair Mousse,Styling,9.99,33.0,2.0,8.0,16,0,2,0
343,Shampoo,Hair Care,12.99,150.0,10.0,3.0,30,1,8,0
344,Hair Gel,Styling,7.99,129.0,5.0,8.0,40,1,6,0
345,Hair Mousse,Styling,9.99,21.0,8.0,6.0,48,0,6,1
346,Hair Spray,Styling,10.99,162.0,5.0,3.0,15,1,5,0
347,Shampoo,Hair Care,12.99,236.0,5.0,8.0,40,1,3,0
348,Comb,Tools,4.99,189.0,3.0,4.0,12,0,6,0
349,Comb,Tools,4.99,66.0,3.0,4.0,12,0,3,0
350,Shampoo,Hair Care,12.99,197.0,9.0,8.0,72,0,9,0
351,Hair Gel,Styling,7.99,116.0,4.0,10.0,40,0,4,0
352,Hair Mousse,Styling,9.99,,7.0,3.0,21,0,6,0
353,Hair Gel,Styling,7.99,93.0,7.0,8.0,56,0,6,0
354,Comb,Tools,4.99,189.0,2.0,5.0,10,1,3,0
355,Hair Spray,Styling,10.99,172.0,3.0,2.0,6,0,2,0
356,Shampoo,Hair Care,12.99,224.0,,6.0,36,0,6,0
357,Hair Spray,Styling,10.99,200.0,5.0,6.0,30,0,8,0
358,Conditioner,Hair Care,11.99,187.0,,5.0,45,0,8,0
359,Comb,Tools,4.99,214.0,1.0,2.0,2,0,1,0
360,Hair Mousse,Styling,9.99,26.0,6.0,8.0,48,0,7,1
361,Shampoo,Hair Care,12.99,235.0,13.0,5.0,65,1,15,0
362,Shampoo,Hair Care,12.99,148.0,8.0,8.0,64,0,6,0
363,Hair Mousse,Styling,9.99,217.0,5.0,7.0,35,1,6,0
364,Conditioner,Hair Care,11.99,34.0,7.0,4.0,28,0,5,0
365,Hair Mousse,Styling,9.99,246.0,2.0,5.0,10,1,3,0
366,Comb,Tools,4.99,77.0,4.0,2.0,8,1,3,0
367,Hair Gel,Styling,7.99,131.0,3.0,2.0,6,1,6,0
368,Hair Gel,Styling,7.99,218.0,2.0,5.0,10,1,0,0
369,Shampoo,Hair Care,12.99,212.0,8.0,5.0,40,0,7,0
370,Comb,Tools,4.99,21.0,1.0,3.0,3,0,0,0
371,Shampoo,Hair Care,12.99,231.0,7.0,7.0,49,0,5,0
372,Hair Gel,Styling,7.99,210.0,5.0,8.0,40,1,8,0
373,Hair Mousse,Styling,9.99,114.0,2.0,4.0,8,0,0,0
374,Hair Gel,Styling,7.99,15.0,7.0,8.0,56,0,6,1
375,Hair Gel,Styling,7.99,200.0,7.0,7.0,49,1,8,0
376,Hair Mousse,Styling,9.99,46.0,7.0,2.0,14,0,7,0
377,Hair Spray,Styling,10.99,59.0,5.0,4.0,20,0,3,0
378,Comb,Tools,4.99,14.0,3.0,8.0,24,0,3,1
